"Artist","Song","Популярность в США","Популярность в СНГ"
"The Killers","Through the Glass","0.44","0.01"
"Halfives","Afterlife","0.35","0.05"
"Blueshift","Animal I have become","0.46","0.05"
"Soilwork","Fever","0.33","0.05"
"Soul Extract","Anastasia","0.5","0.04"
"Infant Annihilator","Raining Blood","0.44","0.01"
"Red","Bleeding","0.3","0.08"
"Ocean Grove","Sandpaper","0.58","0.03"
"Stigmata","It's My Life","0","0"
"Кино","Headache","0.09","0.07"
"Баста","Silence","0.24","0.05"
"Каста","One","0.34","0.04"
"Oxxymiron","Cold","0.09","0.03"
"Motionless in White","Solway Firth","0.31","0.06"
"Falling in Reverse","Why not?","0.37","0.03"
"The Killers","Stop it","0.34","0.04"
"Halfives","I can't take this anymore","0.47","0.04"
"Каста","Snow","0.18","0.15"
"Oxxymiron","Hello","0.56","0.05"
"Motionless in White","Here we go again","0.33","0.03"
"Каста","Incredible","0.56","0.05"
"Oxxymiron","Summer","0.56","0.05"
"Motionless in White","Cold Reader","0.32","0.06"
"Каста","Well","0.27","0.01"
"Oxxymiron","Группа крови","0.44","0.01"
"Nirvana","Мама","0.34","0.04"
"AC/DC","Вокруг шум","0.44","0.01"
"Led Zeppelin","А я и не знал","0.44","0.01"
"Led Zeppelin","WTF?","0.47","0.02"
"Deep Purple","Deutschland","0.33","0.06"
"Michael Jackson","New-York","0.37","0.06"
"Muse","Clown","0.43","0.01"
"Skrillex","Nice boobs","0.58","0"
"Slipknot","I don't want this","0.51","0.05"
"Stone Sour","Anymore","0.43","0.01"
"Avenged Sevenfold","Rufuss","0.34","0.06"
"Three Days Grace","Mann","0.5","0.08"
"Apocalyptica","Stupid things","0.31","0.06"
"Lumen","You're strange","0.3","0.06"
"Biffy Clyro","Zombie","0.11","0.02"
"Alazka","Plague","0.43","0.01"
"Greenday","No more","0.19","0.06"
"Ozzy Osbourne","Спокойная ночь","0.43","0.01"
"Body Count","Моя игра","0.5","0.08"
"Heaven Shall Burn","Smells like Teen Spirit","0.4","0.02"
"Blind Channel","Highway to Hell","0.3","0.08"
"A War Within","Smoke on the Water","0.42","0.02"
"Mayday Parade","Brick in the Wall","0","0"
"Silverstein","You are not Alone","0.28","0.06"
"Apocalyptica","Hysteria","0.5","0.08"
"Lumen","Kill Everybody","0.36","0.05"
"Biffy Clyro","Unsainted","0.33","0.05"
"Alazka","Through the Glass","0.26","0.07"
"Greenday","Afterlife","0.18","0.04"
"Mayday Parade","Animal I have become","0.38","0.08"
"Silverstein","Fever","0.31","0.05"
"Apocalyptica","Anastasia","0.22","0.09"
"Lumen","Raining Blood","0.12","0.1"
"Mayday Parade","Bleeding","0.21","0.04"
"Silverstein","Sandpaper","0.13","0.29"
"Apocalyptica","It's My Life","0.29","0.08"
"Five Finger Death Punch","Headache","0.22","0.14"
"Fozzy","Silence","0.5","0.08"
"Bon Jovi","One","0","0"
"Motionless in White","Cold","0.29","0.08"
"Falling in Reverse","Solway Firth","0.34","0.05"
"Metallica","Why not?","0.37","0.01"
"Korn","Stop it","0.09","0.02"
"IAMX","I can't take this anymore","0.4","0.06"
"Caligula's Horse","Snow","0.29","0.08"
"Каста","Hello","0.32","0.04"
"Oxxymiron","Here we go again","0","0.04"
"Nirvana","Incredible","0","0.04"
"AC/DC","Summer","0.49","0.05"
"Led Zeppelin","Cold Reader","0.24","0.11"
"Led Zeppelin","Well","0.25","0.06"
"Deep Purple","Группа крови","0.33","0.04"
"Michael Jackson","Мама","0.55","0.04"
"Muse","Вокруг шум","0","0"
"Skrillex","А я и не знал","0.4","0.07"
"Slipknot","WTF?","0.38","0.05"
"Stone Sour","Deutschland","0.34","0.06"
"Avenged Sevenfold","New-York","0.26","0.1"
"Three Days Grace","Clown","0.29","0.08"
"Apocalyptica","Nice boobs","0.31","0.06"
"Lumen","I don't want this","0.29","0.09"
"Biffy Clyro","Anymore","0","0"
"Alazka","Rufuss","0.26","0.02"
"Greenday","Mann","0","0.06"
"Ozzy Osbourne","Stupid things","0.29","0.08"
"Body Count","You're strange","0.13","0.11"
"Heaven Shall Burn","Zombie","0.07","0.07"
"Blind Channel","Plague","0.15","0.07"
"A War Within","No more","0","0"
"Mayday Parade","Спокойная ночь","0.56","0.03"
"Silverstein","Моя игра","0","0.04"
"Apocalyptica","Smells like Teen Spirit","0.15","0.1"
"Lumen","Highway to Hell","0.33","0.04"
"Biffy Clyro","Smoke on the Water","0.33","0.04"
"Alazka","Brick in the Wall","0.46","0.02"
"Greenday","You are not Alone","0.23","0.03"
"Michael Jackson","Hysteria","0.31","0.06"
"Muse","Kill Everybody","0.17","0.1"
"Skrillex","Unsainted","0.33","0.04"
"Slipknot","Through the Glass","0.19","0.09"
"Stone Sour","Afterlife","0","0.04"
"Avenged Sevenfold","Animal I have become","0.29","0.08"
"Three Days Grace","Fever","0","0"
"Bullet for my Valentine","Anastasia","0.21","0.14"
"Slash","Raining Blood","0.55","0.01"
"Slayer","Bleeding","0.24","0.07"
"Five Finger Death Punch","Smells like Teen Spirit","0.21","0.06"
"Fozzy","Highway to Hell","0.44","0.02"
"Bon Jovi","Smoke on the Water","0.46","0.02"
"Motionless in White","Brick in the Wall","0.55","0.01"
"Falling in Reverse","You are not Alone","0.54","0.04"
"Metallica","Hysteria","0.53","0.04"
"Korn","Kill Everybody","0.52","0.04"
"IAMX","Unsainted","0.47","0.01"
"Oxxymiron","Through the Glass","0.47","0.01"
"Nirvana","Afterlife","0.33","0.05"
"AC/DC","Animal I have become","0.36","0.02"
"Led Zeppelin","Fever","0","0"
"Led Zeppelin","Anastasia","0.39","0.04"
"Deep Purple","Raining Blood","0.36","0.07"
"Michael Jackson","Bleeding","0.05","0.03"
"Muse","Smells like Teen Spirit","0.13","0.23"
"Skrillex","Highway to Hell","0.54","0.03"
"Slipknot","Smoke on the Water","0.51","0.05"
"Stone Sour","Brick in the Wall","0.36","0.05"
"Avenged Sevenfold","You are not Alone","0.33","0.04"
"Alazka","Hysteria","0.18","0.07"
"Greenday","Kill Everybody","0.29","0.08"
"Ozzy Osbourne","Unsainted","0.39","0.04"
"Body Count","Through the Glass","0.2","0.08"
"Heaven Shall Burn","Afterlife","0.35","0.1"
"Blind Channel","Animal I have become","0.25","0.09"
"A War Within","Fever","0.28","0.09"
"Mayday Parade","Anastasia","0.34","0.01"
"Silverstein","Raining Blood","0.29","0.07"
"Apocalyptica","Bleeding","0.14","0.07"
"Captives","Smells like Teen Spirit","0","0"
"Nightwish","Highway to Hell","0.26","0.1"
"Moonspell","Smoke on the Water","0.22","0.06"
"Machine Head","Brick in the Wall","0.15","0.07"
"Machine Head","You are not Alone","0.53","0.04"
"Viscera","Hysteria","0.29","0.07"
"Phantogram","Kill Everybody","0.29","0.06"
"Ivy Rye","Unsainted","0.28","0.05"
"Boston Manor","Through the Glass","0","0.04"
"PVRIS","Afterlife","0.29","0.04"
"Fever 336","Animal I have become","0.53","0.04"
"Asking Alexandria","Fever","0.3","0.1"
"Bush","Anastasia","0.55","0.01"
"He-Nis-Ra","Raining Blood","0.06","0.01"
"Nova Twins","Bleeding","0.49","0.08"
"Nirvana","Smells like Teen Spirit","0.35","0.03"
"AC/DC","Highway to Hell","0.21","0.07"
"Led Zeppelin","Smoke on the Water","0.35","0.05"
"Deep Purple","Brick in the Wall","0.02","0.39"
"Michael Jackson","You are not Alone","0.3","0.04"
"Muse","Hysteria","0.23","0.07"
"Skrillex","Kill Everybody","0.31","0.05"
"Slipknot","Unsainted","0.21","0.07"
"Stone Sour","Through the Glass","0.54","0.04"
"Avenged Sevenfold","Silverstein","0.31","0.06"
"Three Days Grace","Apocalyptica","0.32","0.04"
"Bullet for my Valentine","Captives","0.27","0.05"
"Slash","Nightwish","0.28","0.07"
"Slayer","Moonspell","0.37","0.05"
"Five Finger Death Punch","Machine Head","0.27","0.03"
"Fozzy","Machine Head","0.15","0.03"
"Bon Jovi","Viscera","0.14","0.04"
"Motionless in White","Phantogram","0.06","0.03"
"Falling in Reverse","Ivy Rye","0.28","0.07"
"Metallica","Boston Manor","0.28","0.07"
"Korn","PVRIS","0.23","0.04"
"IAMX","Fever 333","0","0.04"
"Caligula's Horse","Asking Alexandria","0.33","0.03"
"The Killers","Bush","0.28","0.07"
"Halfives","He-Nis-Ra","0.32","0.04"
"Blueshift","Nova Twins","0.42","0.01"
"Soilwork","Kill Everybody","0.25","0.02"
"Soul Extract","Unsainted","0.05","0.01"
"Infant Annihilator","Through the Glass","0.53","0.04"
"Red","Afterlife","0.28","0.07"
"Ocean Grove","Animal I have become","0.32","0.04"
"Stigmata","Fever","0","0"
"Кино","Anastasia","0.53","0.04"
"Баста","Raining Blood","0.21","0.09"
"Каста","Bleeding","0.24","0.03"
"Oxxymiron","Smells like Teen Spirit","0","0"
"Emmure","Highway to Hell","0.43","0.06"
"RAMMSTEIN","Smoke on the Water","0.27","0.06"
"Emograte","Brick in the Wall","0.36","0.06"
"Oomph!","You are not Alone","0.32","0.04"
"Fit for a King","Hysteria","0.45","0.02"
"Code Orange","Kill Everybody","0.54","0.04"
"Aviators","Unsainted","0.28","0.07"
"Kodaline","Through the Glass","0.48","0.08"
"Led Zeppelin","Silverstein","0.38","0.07"
"Deep Purple","Apocalyptica","0.1","0.06"
"Michael Jackson","Captives","0.52","0.04"
"Muse","Nightwish","0.32","0.04"
"Ocean Grove","Moonspell","0.34","0.05"
"Stigmata","Machine Head","0.55","0"
"Кино","Machine Head","0","0.04"
"Баста","Viscera","0.53","0.03"
"Bullet for my Valentine","Phantogram","0.28","0.07"
"Slash","Ivy Rye","0.08","0.12"
"Slayer","Boston Manor","0.28","0.02"
"Five Finger Death Punch","PVRIS","0.24","0.04"
"Fozzy","Fever 334","0.29","0.06"
"Bon Jovi","Asking Alexandria","0.49","0.04"
"Motionless in White","Bush","0.53","0.04"
"Falling in Reverse","He-Nis-Ra","0.32","0.02"
"The Killers","Nova Twins","0.28","0.07"
"Halfives","Kill Everybody","0.41","0.01"
"Blueshift","Unsainted","0.23","0.06"
"Soilwork","Through the Glass","0","0"
"Soul Extract","Afterlife","0.37","0.05"
"Infant Annihilator","Animal I have become","0.27","0.06"
"Red","Fever","0","0.04"
"Ocean Grove","Anastasia","0.41","0.01"
"Stigmata","Raining Blood","0.24","0.09"
"Кино","Bleeding","0.53","0.04"
"Баста","Smells like Teen Spirit","0.11","0.04"
"Каста","Highway to Hell","0.22","0.33"
"Oxxymiron","Smoke on the Water","0.21","0.13"
"Motionless in White","Brick in the Wall","0.25","0.06"
"Falling in Reverse","You are not Alone","0.44","0.02"
"The Killers","Hysteria","0.3","0.05"
"Halfives","Kill Everybody","0.01","0.11"
"Каста","Unsainted","0.52","0.04"
"Oxxymiron","Through the Glass","0.47","0.08"
"Motionless in White","Silverstein","0.38","0.04"
"Каста","Apocalyptica","0.51","0.04"
"Oxxymiron","Captives","0.36","0.07"
"Motionless in White","Nightwish","0","0"
"Каста","Moonspell","0.48","0"
"Oxxymiron","Machine Head","0.52","0.04"
"Nirvana","Machine Head","0.1","0.07"
"AC/DC","Viscera","0.27","0.05"
"Led Zeppelin","Phantogram","0.43","0.02"
"Led Zeppelin","Ivy Rye","0.11","0.03"
"Deep Purple","Boston Manor","0.32","0.05"
"Michael Jackson","PVRIS","0.5","0.04"
"Muse","Fever 335","0.28","0.07"
"Skrillex","Asking Alexandria","0.47","0.08"
"Slipknot","Bush","0.42","0.02"
"Stone Sour","He-Nis-Ra","0","0"
"Avenged Sevenfold","Nova Twins","0.45","0.02"
"Three Days Grace","Kill Everybody","0.19","0.09"
"Apocalyptica","Unsainted","0","0"
"Lumen","Through the Glass","0.29","0.06"
"Biffy Clyro","Afterlife","0.39","0.02"
"Alazka","Animal I have become","0.19","0.05"
"Greenday","Fever","0.31","0.04"
"Ozzy Osbourne","Anastasia","0.28","0.07"
"Body Count","Raining Blood","0.28","0.09"
"Heaven Shall Burn","Bleeding","0.4","0.05"
"Blind Channel","Smells like Teen Spirit","0.19","0.06"
"A War Within","Highway to Hell","0.09","0.07"
"Mayday Parade","Smoke on the Water","0.21","0.09"
"Silverstein","Brick in the Wall","0.24","0.05"
"Apocalyptica","You are not Alone","0.11","0.04"
"Lumen","Hysteria","0.44","0.02"
"Biffy Clyro","Kill Everybody","0.23","0.06"
"Alazka","Unsainted","0.26","0.03"
"Greenday","Through the Glass","0.4","0.01"
"Mayday Parade","Silverstein","0.4","0.01"
"Silverstein","Apocalyptica","0.28","0.07"
"Apocalyptica","Captives","0.4","0.01"
"Lumen","Nightwish","0.28","0.07"
"Mayday Parade","Moonspell","0.31","0.01"
"Silverstein","Machine Head","0.4","0.02"
"Apocalyptica","Machine Head","0.28","0.07"
"Five Finger Death Punch","Viscera","0.31","0.04"
"Fozzy","Phantogram","0.28","0.07"
"Bon Jovi","Ivy Rye","0.41","0.07"
"Motionless in White","Boston Manor","0.4","0.01"
"Falling in Reverse","PVRIS","0.28","0.07"
"Metallica","Fever 336","0.27","0.03"
"Korn","Asking Alexandria","0.28","0.07"
"IAMX","Bush","0.31","0.04"
"Caligula's Horse","He-Nis-Ra","0.32","0.05"
"Каста","Nova Twins","0.28","0.07"
"Oxxymiron","Kill Everybody","0.39","0.02"
"Nirvana","Unsainted","0.28","0.06"
"AC/DC","Through the Glass","0.27","0.07"
"Led Zeppelin","Afterlife","0.4","0.01"
"Led Zeppelin","Animal I have become","0.43","0.02"
"Deep Purple","Fever","0.31","0.04"
"Michael Jackson","Anastasia","0.41","0.04"
"Muse","Raining Blood","0.49","0.04"
"Skrillex","Bleeding","0.43","0.02"
"Slipknot","Smells like Teen Spirit","0.39","0.01"
"Stone Sour","Highway to Hell","0.09","0"
"Avenged Sevenfold","Smoke on the Water","0.27","0.07"
"Three Days Grace","Brick in the Wall","0.26","0.04"
"Apocalyptica","You are not Alone","0.15","0.04"
"Lumen","Hysteria","0.44","0.04"
"Biffy Clyro","Kill Everybody","0.13","0.06"
"Alazka","Unsainted","0.34","0.05"
"Greenday","Through the Glass","0.15","0.07"
"Ozzy Osbourne","Silverstein","0","0"
"Body Count","Apocalyptica","0.27","0.07"
"Heaven Shall Burn","Captives","0.27","0.06"
"Blind Channel","Nightwish","0.27","0.07"
"A War Within","Moonspell","0.4","0.01"
"Mayday Parade","Machine Head","0.4","0.01"
"Silverstein","Smells like Teen Spirit","0.39","0.02"
"Apocalyptica","Highway to Hell","0.32","0.05"
"Lumen","Smoke on the Water","0.17","0.14"
"Biffy Clyro","Brick in the Wall","0.27","0.07"
"Alazka","You are not Alone","0","0"
"Greenday","Hysteria","0.49","0.04"
"Michael Jackson","Kill Everybody","0.52","0.02"
"Muse","Unsainted","0","0"
"Skrillex","Through the Glass","0.28","0.04"
"Slipknot","Afterlife","0.48","0.04"
"Stone Sour","Animal I have become","0.18","0.06"
"Avenged Sevenfold","Fever","0.27","0.06"
"Three Days Grace","Anastasia","0.24","0.06"
"Bullet for my Valentine","Raining Blood","0.27","0.07"
"Slash","Bleeding","0.37","0.03"
"Slayer","Sandpaper","0.5","0.03"
"Five Finger Death Punch","It's My Life","0.51","0.04"
"Fozzy","Headache","0.27","0.07"
"Bon Jovi","Silence","0.18","0.02"
"Motionless in White","One","0.42","0.01"
"Falling in Reverse","Cold","0.39","0.06"
"Metallica","Solway Firth","0.37","0.05"
"Korn","Why not?","0.27","0.04"
"IAMX","Stop it","0.15","0.07"
"Oxxymiron","I can't take this anymore","0.31","0.04"
"Nirvana","Snow","0.41","0.04"
"AC/DC","Hello","0.35","0.05"
"Led Zeppelin","Here we go again","0.27","0.07"
"Led Zeppelin","Incredible","0.34","0.06"
"Deep Purple","Summer","0.35","0.08"
"Michael Jackson","Cold Reader","0.42","0.02"
"Muse","Well","0","0"
"Skrillex","Группа крови","0.22","0.05"
"Slipknot","Мама","0.24","0.09"
"Stone Sour","Вокруг шум","0.4","0.02"
"Avenged Sevenfold","А я и не знал","0","0.04"
"Alazka","WTF?","0","0"
"Greenday","Deutschland","0.3","0.07"
"Ozzy Osbourne","New-York","0.52","0.01"
"Body Count","Clown","0.31","0.04"
"Heaven Shall Burn","Nice boobs","0.52","0.04"
"Blind Channel","I don't want this","0.31","0.04"
"A War Within","Anymore","0","0"
"Mayday Parade","Rufuss","0","0"
"Silverstein","Mann","0.21","0.05"
"Apocalyptica","Stupid things","0.27","0.07"
"Captives","You're strange","0.29","0.07"
"Nightwish","Zombie","0.32","0.05"
"Moonspell","Plague","0.47","0.04"
"Machine Head","No more","0.18","0.1"
"Machine Head","Спокойная ночь","0.33","0"
"Viscera","Моя игра","0.17","0.05"
"Phantogram","Smells like Teen Spirit","0","0"
"Ivy Rye","Highway to Hell","0.5","0.05"
"Boston Manor","Smoke on the Water","0.51","0.04"
"PVRIS","Brick in the Wall","0.51","0.04"
"Fever 337","You are not Alone","0.34","0.02"
"Asking Alexandria","Hysteria","0.22","0.01"
"Bush","Kill Everybody","0.31","0.04"
"He-Nis-Ra","Unsainted","0.2","0.09"
"Nova Twins","Through the Glass","0.31","0.04"
"Nirvana","Afterlife","0","0.04"
"AC/DC","Animal I have become","0","0"
"Led Zeppelin","Fever","0.4","0.02"
"Deep Purple","Anastasia","0","0"
"Michael Jackson","Raining Blood","0.18","0.08"
"Muse","Bleeding","0.39","0.01"
"Skrillex","Sandpaper","0","0"
"Slipknot","It's My Life","0.3","0.05"
"Stone Sour","Headache","0.31","0.03"
"Avenged Sevenfold","Silence","0.49","0.04"
"Three Days Grace","One","0.39","0.01"
"Bullet for my Valentine","Cold","0.11","0.02"
"Slash","Solway Firth","0.29","0.04"
"Slayer","Why not?","0.39","0.02"
"Five Finger Death Punch","Stop it","0.45","0.07"
"Fozzy","I can't take this anymore","0.22","0.05"
"Bon Jovi","Snow","0.51","0.04"
"Motionless in White","Hello","0.27","0.07"
"Falling in Reverse","Here we go again","0.3","0.04"
"Metallica","Incredible","0.4","0.02"
"Korn","Summer","0.26","0.07"
"IAMX","Cold Reader","0.12","0.1"
"Caligula's Horse","Well","0.36","0.19"
"The Killers","Группа крови","0","0.48"
"Halfives","Мама","0.49","0.04"
"Blueshift","Вокруг шум","0.46","0.05"
"Soilwork","А я и не знал","0.4","0.02"
"Soul Extract","WTF?","0.16","0.04"
"Infant Annihilator","Deutschland","0","0"
"Red","New-York","0","0"
"Ocean Grove","Clown","0.4","0.04"
"Stigmata","Nice boobs","0.29","0.05"
"Кино","I don't want this","0.07","0.07"
"Баста","Anymore","0.42","0.02"
"Каста","Rufuss","0.11","0.14"
"Oxxymiron","Mann","0.27","0.07"
"Emmure","Stupid things","0.4","0.04"
"RAMMSTEIN","You're strange","0.08","0.11"
"Emograte","Zombie","0.25","0.08"
"Oomph!","Plague","0.14","0.04"
"Fit for a King","No more","0.39","0.01"
"Code Orange","Спокойная ночь","0.15","0.09"
"Aviators","Моя игра","0","0.02"
"Kodaline","Smells like Teen Spirit","0","0"
"Led Zeppelin","Highway to Hell","0.29","0.05"
"Deep Purple","Smoke on the Water","0.13","0.07"
"Michael Jackson","Brick in the Wall","0.25","0.06"
"Muse","You are not Alone","0.26","0.07"
"Ocean Grove","Hysteria","0.42","0.04"
"Stigmata","Kill Everybody","0.43","0.02"
"Кино","Unsainted","0.5","0.01"
"Баста","Through the Glass","0.43","0.01"
"Bullet for my Valentine","Afterlife","0.11","0.03"
"Slash","Animal I have become","0","0"
"Slayer","Fever","0.39","0.04"
"Five Finger Death Punch","Anastasia","0.21","0.06"
"Fozzy","Raining Blood","0.09","0.04"
"Bon Jovi","Bleeding","0.29","0.01"
"Motionless in White","Sandpaper","0","0"
"Falling in Reverse","It's My Life","0.24","0.06"
"The Killers","Headache","0","0.04"
"Halfives","Silence","0.4","0.04"
"Blueshift","One","0.12","0.09"
"Soilwork","Cold","0.28","0.05"
"Soul Extract","Solway Firth","0.51","0.03"
"Infant Annihilator","Why not?","0.33","0.03"
"Red","Stop it","0.13","0.11"
"Ocean Grove","I can't take this anymore","0.22","0.09"
"Stigmata","Snow","0.39","0.01"
"Кино","Hello","0.32","0.05"
"Баста","Here we go again","0.42","0.01"
"Каста","Incredible","0.35","0.05"
"Oxxymiron","Summer","0.46","0.02"
"Motionless in White","Cold Reader","0.42","0.04"
"Falling in Reverse","Well","0.39","0.04"
"The Killers","Группа крови","0","0"
"Halfives","Мама","0.26","0.07"
"Каста","Вокруг шум","0","0"
"Oxxymiron","А я и не знал","0.45","0.07"
"Motionless in White","WTF?","0.3","0.04"
"Каста","Deutschland","0.14","0.08"
"Oxxymiron","New-York","0.32","0.04"
"Motionless in White","Clown","0.5","0.01"
"Каста","Nice boobs","0.04","0"
"Oxxymiron","I don't want this","0.26","0.07"
"Nirvana","Anymore","0.26","0.07"
"AC/DC","Rufuss","0.22","0.03"
"Led Zeppelin","Mann","0.41","0.01"
"Led Zeppelin","Stupid things","0.26","0.07"
"Deep Purple","You're strange","0.13","0.04"
"Michael Jackson","Zombie","0","0"
"Muse","Plague","0.21","0.05"
"Skrillex","No more","0.26","0.07"
"Slipknot","Спокойная ночь","0.07","0.03"
"Stone Sour","Моя игра","0.45","0.07"
"Avenged Sevenfold","Smells like Teen Spirit","0.49","0.04"
"Three Days Grace","Highway to Hell","0.26","0.07"
"Apocalyptica","Smoke on the Water","0.25","0.05"
"City of Souls","Brick in the Wall","0.15","0.05"
